campaign_id,campaign_name,channel,start_date,end_date,total_spent,clicks,impressions,conversions,related_orders
M0011,Campanha repudiandae,Email,2025-01-29,2025-03-09,42470.95,4490,21368,3526,"O037786,O009218,O040435,O029685,O012807"
M0012,Campanha facere,Google Ads,2025-02-13,2025-03-21,7417.89,4022,4569,2712,"O014874,O047853,O040314,O064086,O027525,O067065,O000261,O067739,O046915,O012514,O009266,O033674,O013749,O035599,O025007,O030913,O004014,O015770,O033112,O003842,O002947,O009959,O060855,O049598,O011600,O024417,O011599,O047114,O047991,O016939,O069197,O028273,O047052,O016967,O028890,O042620,O065388,O032367,O064249,O026841,O043806,O025023,O021993,O062702,O021044"
M0013,Campanha sit,Google Ads,2024-09-24,2024-10-01,30711.84,1819,19079,666,"O043013,O037143,O032773,O020169,O029746,O007986,O007693,O035763,O040122,O029457,O006352,O002552,O063246,O037742,O004631,O062442,O034156,O007747,O024932,O043473,O015798,O002562,O033574,O001510,O031943,O026741,O024888,O014225,O028941,O014045,O028685,O012524,O045223,O049022,O019745,O039335,O067343,O010986,O005595,O029320,O020777,O014481,O048896,O037925,O043423"
M0014,Campanha hic,Google Ads,2025-05-02,2025-06-20,19432.46,2729,16976,548,"O004597,O038233,O034654,O031180,O034580,O003521,O025085,O024170,O023968,O042105,O015130,O011805,O026290,O048932,O064041,O017536,O015374,O030626,O042403,O037615,O063290,O044945,O045755,O038590,O041958,O028919,O062096,O034394,O040742,O014138,O010895,O004127,O049511,O031095,O015151,O024296,O049196,O004816,O041862,O021936,O037924,O004580"
M0015,Campanha nam,Instagram,2024-10-18,2024-11-06,1945.87,1047,3454,309,"O048831,O022872,O012392,O017287,O066392,O001208,O003691,O013100,O041388,O036349,O020135,O037454,O064225"
M0016,Campanha esse,Email,2024-10-08,2024-10-29,2935.71,1248,5919,938,"O039703,O046864,O042422"
M0017,Campanha ea,Email,2024-10-07,2024-12-02,23545.53,4432,19743,870,"O030962,O001256,O005728,O041046,O030706,O065457,O022849,O048665,O069188,O049754,O049591,O019231,O047462,O001278,O047226,O042169"
M0018,Campanha animi,Email,2025-01-02,2025-01-24,18974.21,3832,5768,3694,"O016709,O020887,O065654,O037218,O024635,O068381,O019279,O044315,O016784,O022418,O063257,O018227,O010467,O025635,O060913,O026507,O002448,O018611,O009387,O016853,O014492,O002135,O014898,O013426,O028425,O011620,O042852,O045712,O067842,O005430,O008431,O019979,O064043,O027762,O049110,O028357,O016006,O027876,O048604,O003946,O010853,O030874"
M0019,Campanha illo,Facebook Ads,2025-04-09,2025-06-05,4414.21,2759,11825,630,"O043507,O026367,O032313,O017087,O024387,O062535,O034440,O042675,O060039,O010259,O029824,O024491,O008738,O030999,O007391,O036889,O004195,O038183,O005345,O003928,O004973,O044296,O000073,O032831,O029897,O012873,O036913,O046027,O038520,O069751,O006783,O035831,O023635,O061253,O008904,O043079"
M0020,Campanha enim,Email,2024-08-26,2024-09-04,41368.22,1642,17822,789,"O035407,O025962,O002285,O017340,O040909,O027712,O032359,O065698,O038926,O016258,O028942,O036495,O003471,O064965,O040521,O034631,O068721,O013987,O066362"
M0021,Campanha dolor,Instagram,2025-04-15,2025-04-23,39499.85,3471,17836,1539,"O023680,O033449,O048463,O024308,O037211,O012140,O029349,O026344,O012484,O003907,O040197,O014184,O018238,O060560,O031271,O027258,O002227,O025159,O038113,O004451,O024403,O044435,O049148,O048089,O028520,O000429,O045215,O027703,O020702"
M0022,Campanha sequi,Instagram,2024-12-27,2025-02-24,29407.94,4893,24556,181,"O069442,O063192,O024176,O001019,O045979,O031787,O047243,O024436,O012502,O008890,O024179,O068730,O015617,O037760,O043881,O032144,O004301,O023141,O003166,O012197,O049623,O043151,O005787,O014435,O028793,O006638,O014407,O017291,O021936,O065922,O010928,O020678,O029385,O016012,O012853,O064629,O042826,O013009,O047184,O027363,O003654,O040264,O022875,O064094,O039919,O007797,O039701,O009632,O048523,O003690"
M0023,Campanha reiciendis,Facebook Ads,2025-03-05,2025-04-17,16010.6,155,339,133,"O018504,O009719,O036294,O029293,O006228,O002645,O043960,O045953,O066247,O038886,O042028,O016663,O020696,O018847,O033652,O017781,O043519,O040622,O022169,O001044,O042677,O011850,O012504,O029246,O035400,O048214,O024641,O043280,O026543,O043318,O022385,O036606,O035979"
M0024,Campanha quo,Instagram,2024-10-21,2024-11-19,40934.12,728,10243,690,"O005098,O042687,O037463,O003085,O009558,O042618,O045924,O014298,O008998,O045402,O027968,O007831,O043803,O045445,O030853,O023573,O037658,O020093,O001811,O005882,O035902,O015458,O025603,O032290,O022018,O039815,O038204,O031250,O019425,O062792,O007468,O036847"
M0025,Campanha veritatis,Google Ads,2024-11-18,2024-12-22,5280.34,2446,17549,128,"O064668,O031242,O012061,O038764,O023899,O009299,O013450,O003697,O006406,O023097,O063958,O035110,O027626,O008172,O002705,O005785,O035358,O030302,O014489,O065542,O002693,O019828,O000513,O009059,O026636,O001446"
M0026,Campanha illum,Google Ads,2024-08-29,2024-09-21,12566.95,3466,11959,2836,"O047716,O016322,O064637,O016484,O009757,O028816,O018810,O066877,O032555,O022692,O062401,O020423,O045459,O044264,O000511,O040665,O021170,O046322,O026740,O036870,O032539,O030048,O037917,O065390,O036659,O003402,O008599,O029747,O027819,O006235,O019822,O044097,O003487,O033648,O025798,O033786"
M0027,Campanha molestias,Instagram,2025-01-09,2025-02-09,11475.55,4152,4624,4055,"O048681,O045044,O015040,O044754,O015002,O006674,O007483,O016637,O000623,O007887,O048889,O049299,O062982,O036713,O043770,O066034,O068423,O023740,O047181,O022822,O009772,O063961,O021367,O067918"
M0028,Campanha tempore,Facebook Ads,2025-04-12,2025-06-11,2727.35,3436,14924,2095,"O019721,O007969,O025268,O026937"
M0029,Campanha natus,Google Ads,2024-12-19,2025-01-21,48921.42,4193,23637,1203,"O037151,O036410,O001032,O012647,O032687,O035566,O039307,O000568,O014143,O035253,O049528,O025014,O009765,O036057,O024007,O034611,O062699,O003910"
M0030,Campanha similique,Instagram,2025-02-03,2025-03-20,8678.44,466,12514,273,"O064068,O036976,O017543,O014534,O024332,O060735,O023852,O027650,O028427,O038132,O025149,O003681,O001423,O009699,O018567,O031542,O032222,O036077,O029034,O012951,O061439,O046898,O046178,O010444,O042380,O014060,O045608,O032266,O029924,O017010,O006212,O014153,O014321,O002299,O034718,O047850,O069929,O023189,O007512"
M0031,Campanha eveniet,Email,2025-06-07,2025-07-10,1995.81,405,7853,382,
M0032,Campanha eos,Google Ads,2024-10-08,2024-10-13,12909.96,2349,4224,862,
M0033,Campanha ad,Facebook Ads,2025-02-13,2025-03-05,26601.64,435,19048,372,"O032989,O018552,O004557,O042977,O030591,O001884,O023891,O021281,O069896,O027416,O032584,O035921,O037199,O026886,O023837,O004907,O037307,O033314,O006552,O065701,O008191,O046764,O016386,O040331,O024498,O007298,O021331,O028714,O030381,O016058,O021273,O042879,O030767,O003714,O049882,O041110,O046673,O062512,O022235,O042540"
M0034,Campanha quisquam,Instagram,2024-11-11,2024-11-17,12996.91,3845,19964,3258,"O013221,O001631,O005265,O038725,O006033,O034190,O066810,O008379,O033332,O020928,O062894,O044621,O064381,O009945,O063559,O060890,O049638,O045937,O005156,O014280,O030696,O009567,O047184,O038108,O068056,O023888,O042226,O006549,O014570,O017024,O065079,O044395,O045044,O014227,O014628,O036571,O062972,O029651,O010375,O001821,O064945,O020596,O048947,O022774,O016898,O018540,O027581,O030988,O026717"
M0035,Campanha quibusdam,Google Ads,2024-08-18,2024-09-23,33193.75,4632,24418,3535,"O001762,O013051,O034473,O021454,O069978,O030896,O009464,O011088,O043172,O030886,O023155,O043079,O043419"
M0036,Campanha excepturi,Instagram,2024-10-08,2024-12-06,4686.62,4482,9749,1757,"O015548,O023353,O026642,O033890,O029588,O007915,O015822,O010164,O039592,O000512,O049947,O019556,O044673,O031894,O061072,O002616,O044121,O045861,O033688,O027416,O026620,O045650,O023566,O039315,O027125,O031392,O010718,O008470,O011962,O033897,O024601,O003782,O037204,O029363,O030859,O037045,O023582,O047177,O029627,O063056,O030830,O030368,O020352,O019638,O004551,O064911,O012242,O064323,O012220,O007240"
M0037,Campanha distinctio,Facebook Ads,2025-02-10,2025-03-22,20336.18,4057,23561,2236,"O033276,O027521,O043814,O004642,O027509,O007710,O016275,O045941,O028557"
M0038,Campanha reiciendis,Email,2025-04-20,2025-05-25,11185.5,3131,16578,531,"O011708,O015387,O010591,O047950,O040530,O005012,O065739,O011216,O067832,O029823,O046493,O030862,O005108,O063515,O001713,O010110,O065683,O041812,O044020"
M0039,Campanha totam,Instagram,2024-10-05,2024-11-14,27952.57,1402,6090,988,"O003230,O013867,O034063,O044612,O024934,O021699,O036970,O045218,O005047,O028945,O002342,O027960,O014616,O017553,O063129,O060669,O037601,O049793,O060517,O068984,O027671"
M0040,Campanha eum,Email,2025-04-25,2025-05-24,19254.98,2326,8471,2128,"O005891,O013477,O002868,O034143,O029554,O030364,O025670,O046330,O016916,O035033,O002134,O035161,O048067,O010305,O040893,O015491,O067344,O063673"
M0041,Campanha tempore,Facebook Ads,2025-03-12,2025-03-25,36131.82,2938,22035,1810,"O000746,O041851,O030526,O015358,O023358,O027305,O043622,O060577,O001599,O028461,O001757,O020877"
M0042,Campanha eaque,Instagram,2025-01-15,2025-03-05,30436.45,4717,6679,3036,O005312
M0043,Campanha numquam,Email,2024-10-10,2024-11-02,1322.0,3507,8676,1326,"O048202,O040281,O045859,O018170,O064144,O005528,O025605,O005810,O020919,O029054,O008675,O030904"
M0044,Campanha fugit,Google Ads,2025-03-17,2025-04-13,19312.63,4325,22441,1534,"O003230,O005127,O000278,O048848,O032862,O001631,O036798,O030163,O020683,O022818,O018351,O069427,O011593,O008159,O041932,O039398,O012486,O019680,O044004,O041325,O010232,O049217,O032730,O026359,O008366,O064312,O034840,O001409,O005570,O018397,O015127,O014594,O067770,O033316,O007522,O018027,O023360,O039199,O011489,O003741,O008361,O017180,O009236,O029625,O046886,O064188,O037384"
M0045,Campanha porro,Facebook Ads,2025-04-13,2025-05-28,10017.37,2851,20443,1927,"O044054,O039125,O001292,O047784,O027204,O029901,O011947,O001165,O013028,O025457,O006584,O012398,O002622,O008728,O031757,O048027,O013885,O065490,O009849,O065891,O006082,O025866,O026681,O026459,O028637,O013948,O000586,O030617,O060521"
M0046,Campanha quis,Email,2024-09-10,2024-10-18,24342.14,752,16809,574,"O027810,O046059,O024058,O060250,O007501,O043265,O065273,O021986,O041650,O004805,O008828,O046537,O030236,O047255,O001239,O041901"
M0047,Campanha quae,Facebook Ads,2024-12-06,2025-01-16,46850.23,1769,19949,1198,"O002717,O018841,O032325,O011337,O018127,O037927,O017899,O030893,O017545,O010533,O035343,O012254,O028054,O020674,O006555,O028621,O036044,O003217,O001562,O046856,O027419,O028357,O065791,O024831,O014741,O028232,O029692,O040359,O020614"
M0048,Campanha incidunt,Facebook Ads,2025-04-04,2025-05-20,39428.16,1220,12510,1239,"O027699,O037020,O039056,O035498,O001772,O014809,O014100,O015901,O043546,O034380,O032259,O025373,O003454,O005274,O040465,O038015,O048709,O020882,O011013,O064138,O032314,O015658,O048699,O027542,O037671,O029679,O017629,O005380,O061252,O031337,O016312"
M0049,Campanha nam,Facebook Ads,2024-09-26,2024-11-13,40345.0,2958,10286,2097,"O022016,O025957,O069761,O027802,O009781,O029573,O000996,O043735,O017006,O022358,O011454,O001460,O023787,O017123,O048615,O012654,O033822,O000664,O019060,O068573,O007243,O003191,O014791,O024395,O004565,O000132,O061167,O046491,O038053,O049531,O021087,O007023,O022731,O028871,O041239,O037032,O060547,O049196,O031810,O032089,O041446,O001742,O022641,O062743,O002376"
M0050,Campanha ipsa,Facebook Ads,2024-11-28,2024-12-26,20726.94,2312,17164,1203,"O027540,O030228,O061682,O003104,O040057,O027202,O006964,O064911,O047433,O042780,O005183,O014865,O025685,O036934,O037585,O029392,O004066,O021837,O043417,O001583,O045876,O027659,O011481,O011052,O036154"
M0051,Campanha explicabo,Instagram,2024-11-10,2024-12-14,41300.47,4365,17646,1901,"O044065,O022087,O044891,O037024,O009224,O002195,O034044,O035316,O038412,O005791,O049320,O018113,O008322,O067496,O041499"
M0052,Campanha unde,Email,2025-01-01,2025-02-08,44850.56,2504,3265,1911,"O033883,O027302,O035898,O033720,O060377,O067314,O066842,O017352,O018312,O048075,O003256,O013590,O069979,O000792,O003053,O039391,O003345,O047345,O020140,O008538"
M0053,Campanha eos,Google Ads,2025-04-13,2025-06-07,8075.64,2189,3317,430,"O060755,O005735,O014923,O023422,O003531,O014395,O038208,O066631,O018715,O010136,O007615,O028559,O018492,O022025,O003411,O047773,O047748,O045348,O011669,O066164,O026967,O006824,O006730,O020204,O029761,O047770,O024501,O010203,O015335,O023426,O042103,O047233,O019187,O061966,O015508,O049103,O043088,O065032,O010220"
M0054,Campanha iusto,Google Ads,2025-01-05,2025-02-10,43939.75,1336,16006,1044,"O014432,O033613,O022270,O047561,O033206,O043699,O007961,O066269,O047371,O003610,O010515,O022807,O038173,O031718,O018945,O069500,O018387,O005625,O030041,O015224,O015320,O027745,O003684,O036902,O041718,O016648,O002422,O006158,O002023,O020296,O024030"
M0055,Campanha consequuntur,Instagram,2025-07-10,2025-08-25,39978.31,3572,5729,1090,"O026068,O011694,O018944,O036076,O064698,O018452,O028040,O037320,O023800,O013350,O016638,O006441,O069619,O010333,O034636,O011682,O015293,O040140,O032517,O044576"
M0056,Campanha ipsum,Instagram,2025-03-19,2025-04-15,29186.88,1835,7928,618,"O048060,O002932,O006255,O030401,O042572,O031824,O043670,O002846,O034752,O007631,O035450,O016388,O066772,O007642,O006702,O042911,O069760,O001097,O007477,O009957,O004106,O031943,O018765,O034200,O022578,O003496,O018900,O032515,O006315,O023839,O065633,O025483,O013317,O019950,O005327,O015193,O026868,O008497,O043014"
M0057,Campanha pariatur,Instagram,2025-05-06,2025-05-24,9486.34,4345,14242,448,"O028457,O062137,O037858,O036958,O003109,O048292,O005591,O031352,O009948,O037583,O025504,O036362,O000629,O031627,O024228,O063823,O013465,O017702,O031445,O015934,O023021,O005748,O049666,O016024,O015852,O003424,O010895,O064336,O020259,O003346,O024331,O035641,O000867,O042222,O025939,O049014,O043001,O008025,O008818,O033933,O038954,O047627,O063626,O022020,O033365,O061574"
M0058,Campanha aperiam,Facebook Ads,2024-12-19,2024-12-28,12148.61,4708,24492,2112,"O061815,O000458,O068998,O069609,O061204,O037266,O029760,O040423,O046889,O022597,O064311,O034668,O062816,O025681,O012931,O005518,O006369,O032012,O041638,O019104,O002542,O069458,O020324,O007036"
M0059,Campanha soluta,Instagram,2025-06-03,2025-06-15,9767.55,4124,13723,815,"O015238,O025500,O016656,O022771,O024031,O040256,O032384,O044514,O062217,O047079,O035094,O061815,O011541,O022029,O030185,O021527,O066583,O045789,O010190,O067647,O040957,O049296,O044285,O035759,O015056,O030133,O042611,O034830,O008054,O000193,O021541,O049781,O049418,O024063,O015305,O027353,O040550,O065100,O028931,O030028,O006930,O010650,O044106,O025502,O027778"
M0060,Campanha voluptatem,Instagram,2025-04-08,2025-05-12,11617.04,3308,15090,98,"O041079,O000482,O036299,O007997,O037101,O036087,O069182,O017783,O047728,O013787,O015995,O020327,O019454,O027973,O033127,O015176,O048708,O028889"
M0061,Campanha dolores,Facebook Ads,2025-02-12,2025-04-09,2417.52,969,20724,756,"O026936,O027217,O003955,O013244,O017680,O047995,O060872,O014450,O029248,O024397,O006493,O029703,O013810,O042789,O026765,O016333,O014737,O045355"
M0062,Campanha amet,Google Ads,2025-06-22,2025-07-27,34696.75,2771,19503,2803,"O064564,O062205,O036875,O019504,O068283,O022215,O035740,O006298,O001639,O005842,O008955,O049992,O019019,O000911,O002606,O003733,O027608,O032431,O040014,O021974,O038491,O000777,O031901,O019940,O010654,O041939"
M0063,Campanha commodi,Email,2024-09-19,2024-11-18,26691.13,1166,4928,617,"O013649,O004700,O066584,O025102,O064718,O006215,O047843,O049251,O015819,O016743,O021863,O030873,O024828,O046245,O014675,O019250,O040537,O044782,O039980,O041866,O037097,O034659,O019894,O028520,O008363,O027262,O042979,O018489,O060319,O002383,O003549,O063009,O030699"
M0064,Campanha inventore,Email,2025-01-07,2025-02-10,48189.35,4165,9326,2813,"O004683,O040642,O021625,O040018,O046960,O021149,O043963,O032917,O036006,O044562,O043010,O069209,O012267,O064804,O013843,O043500,O065736,O038380,O045188,O049568,O004971,O034355,O022849,O066882,O017577,O024087,O037608,O013613,O045475,O060992,O016303,O048220,O045468,O009683,O028626,O012112,O067378,O066584"
M0065,Campanha laborum,Email,2025-04-09,2025-04-20,36899.45,529,9807,270,"O028855,O029427,O044914,O012596,O035233,O004003,O011501,O033647,O013270,O027629,O035117,O035528,O045457,O045237,O013604,O031850,O031606,O041561,O037854,O028706,O027567,O044323,O039768,O009302,O025306,O042840,O026902,O039153,O037428,O000931,O005709,O000518,O069270,O035942,O007701,O025641,O012181,O015498,O047411,O028709,O000685,O066020,O024901,O006104,O033829,O060065,O031392"
M0066,Campanha aspernatur,Facebook Ads,2025-01-17,2025-02-05,29267.29,2624,10095,1049,"O017398,O047852,O004587,O024798,O033674,O040961,O013197,O021372,O030333,O034051,O045786,O065101,O000165,O041975,O032507,O012201,O043020,O010755,O037397,O016972,O021352,O042592,O016862,O048861,O046398,O008515,O011306,O064777,O022484,O048954,O011697,O015626,O032987,O023430,O042154,O023674,O025993,O001816,O047564,O009400"
M0067,Campanha excepturi,Email,2025-05-08,2025-06-04,8382.91,4302,16806,3891,"O066914,O029668,O044500,O024240,O037982,O061514,O042632,O016400,O005375,O037095,O029448,O024867,O031554,O039558,O049717,O015303,O002096,O033196,O024701,O042048,O002066,O060642,O003007,O010646,O024039,O033648,O015192,O009177,O049755,O018957,O021956,O031262,O005791,O004404,O006547,O004216,O034859,O022661,O017343,O028723,O031163,O019705,O048931,O003402,O028563"
M0068,Campanha aut,Instagram,2025-02-28,2025-04-04,30047.22,3146,11287,2909,"O038727,O008194,O019411,O047407,O033288"
M0069,Campanha nostrum,Instagram,2024-09-19,2024-10-30,34798.88,461,3428,124,"O020801,O018934,O032396,O002261,O024789,O019200"
M0070,Campanha laborum,Instagram,2025-05-26,2025-06-17,1822.28,1227,3259,37,"O016259,O033514,O019465,O067136,O047018,O021421,O013651,O006346,O028617,O025831,O068165,O047376,O011490,O003113,O019077,O022531,O027817,O004229,O006916,O016355,O065042,O018659,O039750,O003676,O004904,O041137,O032305"
M0071,Campanha officia,Facebook Ads,2025-01-16,2025-03-04,17872.26,2710,11575,630,"O002594,O004931,O001008,O008280,O017175,O014894,O005906,O003340,O013853,O027012,O017196,O038458,O038382,O049894,O015215,O009756,O043396,O030365,O041628,O012781,O002369,O017167,O013409,O007563,O035318,O007663,O042998,O048816,O047793,O008319,O063721,O018423,O037142,O022779,O033947,O045625,O038539,O013105,O001043,O018113,O040555,O032238,O032807"
M0072,Campanha fuga,Facebook Ads,2024-09-06,2024-11-05,1089.22,1262,14345,253,"O011843,O022375,O029248,O048944,O048752"
M0073,Campanha odio,Instagram,2024-12-25,2025-02-04,38526.24,2576,6285,1196,"O031428,O024158,O035402,O046099,O060314,O002704,O026931,O006439,O044419,O006639,O045447,O062705,O045357,O045622,O043935,O016556,O025155,O001911,O041892,O016476,O048196,O032020,O014861"
M0074,Campanha consectetur,Google Ads,2024-12-02,2025-01-14,21915.79,3651,5897,2275,"O022515,O029697,O007173,O001480,O032761,O018629,O007748"
M0075,Campanha ab,Instagram,2024-09-27,2024-11-18,10289.5,730,9739,545,"O022983,O032902,O013477,O068944,O027232,O041201,O023847,O017531,O023361,O042175,O031496,O013255,O046810,O038481,O067941,O036009,O010399,O022630,O017130,O063380,O028073,O001811,O002791,O015416,O019268,O002110,O034358,O000310,O007390,O030791,O031557,O001408,O004907,O024647"
M0076,Campanha ipsa,Facebook Ads,2025-02-03,2025-04-02,3444.17,3021,21375,3101,"O031731,O013927,O030123,O065583,O012918,O001728,O009816,O018156,O013008,O032174,O009517,O012530,O003356,O031526,O064824,O049739,O022811,O025021,O015900,O041399,O048722,O010097,O002585,O016387,O004262,O005144,O043017,O008083"
M0077,Campanha officia,Email,2025-02-16,2025-02-25,24959.33,4959,15496,2419,"O029539,O023378"
M0078,Campanha accusamus,Instagram,2025-03-28,2025-05-27,30788.77,4415,14165,2629,"O048772,O044856,O063520,O012722,O044885,O042470,O035808,O004469,O035886,O041925,O067721,O014717,O060811,O000047,O009575"
M0079,Campanha mollitia,Instagram,2024-09-27,2024-11-16,38822.56,3427,17666,3454,"O000412,O035847,O045220,O037835,O023196"
M0080,Campanha quidem,Google Ads,2024-09-09,2024-11-02,16130.36,4945,5479,2408,"O008415,O029096,O048936,O035470,O024516,O015036,O047004,O060826,O069363,O046296,O011370,O047974,O014142,O031732,O048909,O016251,O013865,O038794,O024056,O047514,O007313,O030241,O001327,O005798,O049120,O020956,O031430,O022000,O036797,O036227,O003833,O019795"
M0081,Campanha est,Instagram,2024-08-27,2024-09-11,14715.74,933,17354,226,"O005731,O031320,O020297,O012864,O013097,O024116,O036984,O017247,O046250,O031818,O000265,O019812,O049595,O048313,O019657,O009560,O005980,O019235,O047398,O037542,O044262,O003704,O018989,O010244,O026086,O002416"
M0082,Campanha iure,Email,2025-04-21,2025-06-01,9523.61,4776,12209,1487,"O010957,O017659,O038309,O045152,O016549,O006190,O049730,O034751,O019873,O011390,O041396,O012683,O032746,O007570,O029252,O030532,O040206,O036050,O030984,O048528,O064823,O013360,O037496,O036653,O007209,O032995,O025178,O002488,O004057,O011509,O014331,O020628,O036559,O040472,O045301,O005577,O017376,O027739,O023076,O004644,O023048,O068767,O021684,O048058,O038121,O007300,O002156,O045911,O017616"
M0083,Campanha amet,Google Ads,2025-04-16,2025-05-18,4928.33,1036,10433,1035,"O034206,O001115,O043511,O042455,O026321,O022789,O016906,O008234,O017833,O049275,O018110,O036632,O007691,O043977,O033065,O038630,O063723,O001229,O036613,O031600,O038903,O062189,O009021,O024830,O029123,O020484,O040861,O032263,O001353,O021184,O003534,O048806,O036476,O048083,O025124,O042004,O037645,O031125,O014063,O069096,O013471,O004250"
M0084,Campanha placeat,Email,2024-11-10,2024-11-29,10444.05,2160,3839,1362,"O039671,O015263,O063867,O000129,O065046,O011858,O066712,O040667,O007580,O013443,O022444,O013227,O067113,O016650,O038893,O002657,O023753,O037252,O068225,O041647,O025846,O038760,O006139,O031104,O007577,O036571,O004370,O048711,O046074,O069586,O049344,O029574,O028053,O006361,O030715,O003770"
M0085,Campanha consequuntur,Facebook Ads,2024-12-29,2025-01-06,8844.67,1309,8533,799,"O012415,O038472,O000712,O062360,O041988,O023831,O008552,O066154,O020660,O044620,O032839,O002738,O029133,O068878,O040740,O027009,O013627,O023876,O046793,O035769,O026833,O066974,O013238,O017271,O043974,O038451,O043392,O032131,O040658,O049806,O047057,O014806,O008829,O004872,O001753,O033455,O066306,O002465,O041894,O004572,O047869,O067535,O044364,O031588,O035578,O026976"
M0086,Campanha vero,Google Ads,2024-10-12,2024-12-08,11058.76,2287,12135,1704,"O018150,O049597,O001981,O032770,O039106,O014626,O031286,O042862,O012019,O008583,O066933,O001981,O046409,O019499,O002411,O004711,O007361,O006525,O036699,O034269,O016470,O014155,O017168,O000693,O027480,O011512,O003086,O034774,O032860,O037853,O000132,O008510,O018328,O041072,O000454,O020050,O037716,O044587,O020005,O039978,O041649,O013291"
M0087,Campanha fugit,Instagram,2025-02-03,2025-03-05,44511.85,644,3639,136,"O005475,O037392,O039537,O033398,O037139,O026301,O012242,O010104,O036217,O023730,O012462,O024368,O046951,O028897,O007155,O022158,O013442,O021319,O028363,O021612"
M0088,Campanha delectus,Google Ads,2025-02-13,2025-04-03,37882.71,4468,15346,4389,"O033060,O037403,O019811,O030116,O009952,O043912,O024217,O037744,O061991,O019524,O015507,O048208,O005437,O014246,O026308,O069035,O020337,O032728,O045878,O041471,O033584,O012284,O043674,O018282,O038063,O041897,O015091,O024231,O003651,O028626,O035060,O029009,O021842,O068883,O021426"
M0089,Campanha incidunt,Facebook Ads,2025-03-10,2025-04-13,9396.49,997,12830,124,"O061004,O007334,O010037,O039786,O038056,O020485,O031768,O001414,O047951,O060487,O025887,O068195,O027429,O049269,O017500,O049450,O022525,O043874,O010503,O010921,O035086,O035434,O016595,O062219,O065876,O006161,O045030,O002127,O035522,O012637,O044333,O000388,O045103"
M0090,Campanha dolorum,Google Ads,2024-10-25,2024-11-29,47678.23,343,2167,342,"O031479,O034127,O013409,O024778,O009024,O002618,O015480,O026274,O025908,O010775,O022621,O035190,O031156,O049188,O011836,O042396,O034187,O041582,O021530,O024273,O062550,O006473,O028832,O011773"
M0091,Campanha dolores,Email,2024-10-25,2024-12-10,8706.17,4813,18012,3306,"O069238,O039536,O038153,O008725,O006036,O004009,O037281,O038202,O018214,O013243,O029435,O041424,O009902,O026993,O068960,O000867,O001427,O049376,O006299,O012744,O042346,O044918,O042867,O047431,O000007,O033230"
